fichier,largeur_px,hauteur_px,transparence_reelle,origine
Movement/cartes/01-un-seul-lien.png,1024,1024,oui,recreation vectorielle
Movement/cartes/02-mobile-money.png,1024,1024,oui,recreation vectorielle
Movement/cartes/03-boutique.png,1024,1024,oui,recreation vectorielle
Movement/cartes/04-personnalisation.png,1024,1024,oui,recreation vectorielle
Movement/cartes/05-statistiques.png,1024,1024,oui,recreation vectorielle
Movement/cartes/06-carte-bancaire.png,1024,1024,oui,recreation vectorielle
Movement/cartes/07-communaute.png,1024,1024,oui,recreation vectorielle
Movement/cartes/08-clics.png,1024,1024,oui,recreation vectorielle
Movement/cartes/09-coeur.png,1024,1024,oui,recreation vectorielle
Movement/icones/01-un-seul-lien.png,1024,1024,oui,recreation vectorielle
Movement/icones/02-mobile-money.png,1024,1024,oui,recreation vectorielle
Movement/icones/03-boutique.png,1024,1024,oui,recreation vectorielle
Movement/icones/04-personnalisation.png,1024,1024,oui,recreation vectorielle
Movement/icones/05-statistiques.png,1024,1024,oui,recreation vectorielle
Movement/icones/06-carte-bancaire.png,1024,1024,oui,recreation vectorielle
Movement/icones/07-communaute.png,1024,1024,oui,recreation vectorielle
Movement/icones/08-clics.png,1024,1024,oui,recreation vectorielle
Movement/icones/09-coeur.png,1024,1024,oui,recreation vectorielle
ambiances/hero-studio-sans-texte.png,1536,1024,non,recreation imagegen
ambiances/votre-univers-sans-texte.png,1774,887,non,recreation imagegen
cartes/mobile-money-illustree.png,1774,887,non,recreation imagegen
cartes/mobile-money-transparent.png,2000,925,oui,recreation vectorielle
cartes/personnalisation-illustree.png,1774,887,non,recreation imagegen
cartes/personnalisation-transparent.png,2000,925,oui,recreation vectorielle
cartes/statistiques-transparent.png,1800,1350,oui,recreation vectorielle
cartes/support-lien-social-sans-texte.png,1800,540,oui,recreation vectorielle
createurs/portrait-artiste.png,1240,1268,non,recreation imagegen
createurs/portrait-chef.png,1024,1536,non,recreation imagegen
createurs/portrait-mode.png,1155,1362,non,recreation imagegen
createurs/portrait-tech.png,1145,1374,non,recreation imagegen
decorations/etoile-lavande.png,1024,1024,oui,recreation vectorielle
decorations/feuilles-citron-lavande.png,2048,1843,oui,recreation vectorielle
decorations/fond-footer-violet.png,2400,700,non,recreation vectorielle
decorations/forme-lavande.png,2048,1365,oui,recreation vectorielle
decorations/soulignement-citron.png,1600,440,oui,recreation vectorielle
decorations/symbole-chaine-citron.png,1024,1024,oui,recreation vectorielle
personnages/creatrice-hero.png,1193,1319,oui,recreation imagegen
personnages/homme-telephone.png,1312,1199,non,recreation imagegen
telephones/mockup-biolien-principal.png,1208,1302,non,recreation imagegen
telephones/votre-univers-telephone.png,1024,1536,non,recreation imagegen
